Chunk #, JSON Bytes, JSON+DEFLATE_SPEED Bytes, JSON+DEFLATE_SPEED ms, JSON+DEFLATE_DEFAULT Bytes, JSON+DEFLATE_DEFAULT ms, JSON+DEFLATE_MAX Bytes, JSON+DEFLATE_MAX ms, ascii85 Bytes, DEFLATE_SPEED+ascii85 Bytes, DEFLATE_DEFAULT+ascii85 Bytes, DEFLATE_MAX+ascii85 Bytes, ascii85+DEFLATE_SPEED Bytes, ascii85+DEFLATE_DEFAULT Bytes, ascii85+DEFLATE_MAX Bytes, CBOR Bytes, CBOR+DEFLATE_SPEED Bytes, CBOR+DEFLATE_SPEED ms, CBOR+DEFLATE_DEFAULT Bytes, CBOR+DEFLATE_DEFAULT ms, CBOR+DEFLATE_MAX Bytes, CBOR+DEFLATE_MAX ms
1 , 322639 ,  169773 , 7 ,  163492 , 17 ,  163112 , 38 , 207938 ,  190863 ,  189780 ,  189934 ,  157388 ,  154458 ,  154296 ,  161331 ,  142552 , 5 ,  141978 , 8 ,  141942 , 20
2 , 322639 ,  169370 , 7 ,  163237 , 17 ,  162921 , 32 , 208102 ,  191119 ,  189917 ,  189940 ,  157527 ,  154481 ,  154286 ,  161331 ,  142817 , 5 ,  141851 , 8 ,  141794 , 19
3 , 322639 ,  169355 , 7 ,  163065 , 18 ,  162743 , 32 , 207776 ,  190769 ,  189547 ,  189381 ,  157397 ,  154515 ,  154354 ,  161331 ,  142598 , 5 ,  141672 , 8 ,  141605 , 19
4 , 322639 ,  169409 , 6 ,  162816 , 17 ,  162522 , 35 , 209974 ,  190429 ,  189071 ,  189296 ,  157450 ,  154376 ,  154230 ,  161331 ,  142286 , 6 ,  141578 , 12 ,  141515 , 20
5 , 322639 ,  168768 , 6 ,  162295 , 17 ,  161986 , 28 , 207798 ,  189920 ,  188422 ,  188102 ,  157452 ,  154604 ,  154430 ,  161331 ,  141831 , 5 ,  140838 , 8 ,  140788 , 18
6 , 322639 ,  168570 , 6 ,  161593 , 17 ,  161309 , 28 , 207964 ,  189883 ,  187648 ,  187825 ,  157494 ,  154511 ,  154355 ,  161331 ,  141872 , 5 ,  140286 , 8 ,  140184 , 19
7 , 322639 ,  168676 , 6 ,  161982 , 17 ,  161591 , 36 , 207825 ,  188938 ,  188163 ,  187842 ,  157330 ,  154416 ,  154248 ,  161331 ,  141404 , 5 ,  140571 , 8 ,  140495 , 22
8 , 322639 ,  168423 , 7 ,  161400 , 17 ,  161042 , 30 , 207821 ,  189470 ,  187391 ,  187413 ,  157530 ,  154599 ,  154412 ,  161331 ,  141749 , 5 ,  139977 , 8 ,  139826 , 20
9 , 1803751 ,  608976 , 27 ,  553897 , 63 ,  543451 , 122 , 1150906 ,  646052 ,  620514 ,  614034 ,  649312 ,  615041 ,  610322 ,  901887 ,  482566 , 18 ,  463944 , 28 ,  459115 , 113
10 , 3823521 ,  1047632 , 47 ,  912826 , 112 ,  886368 , 192 , 2443812 ,  1066981 ,  1002166 ,  982610 ,  1204397 ,  1114047 ,  1097756 ,  1911772 ,  796824 , 29 ,  748244 , 49 ,  734369 , 231
